Дайвинг/Дыхательное оборудование/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/3/0/300pk_1_1_.jpg,https://www.batiskaf.ru/rezervnyj-ballon-spare-air-0-42-l.html,"Резервный баллон Spare Air 0,44л",32340руб.,300PKYEL,Да,"Аппараты SPARE AIR представляют собой компактную водолазную дыхательную cистему, собранную в едином модуле. "
Дайвинг/Дыхательное оборудование/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/3/0/300pk_1_1__1_.jpg,https://www.batiskaf.ru/rezervnyj-ballon-spare-air-0-28-l.html,"Резервный баллон Spare Air 0,28л",32340руб.,170PKYEL,Да,"Аппараты SPARE AIR представляют собой компактную водолазную дыхательную cистему, собранную в едином модуле. "
Дайвинг/Экипировка/Ласты/закрытая пятка/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/4/0/4093f07c-cc74-4663-a2a6-b85bb60d6903-1200x800.jpg,https://www.batiskaf.ru/lasty-rondinella-zakrytaja-pjatka.html,Ласты Cressi Rondinella закрытая пятка,2990руб.,CA1810,Да,"Знаменитые ласты RONDINELLA от итальянской компании CRESSI.
Модель с мягкой анатомической калошей для плотной и комфортной посадки. Ласты имеют закрытую пятку, а мягкая и эластичная терморезина снижает риск натирания ног. Отличный выбор для снорклинга, пляжного отдыха, бассейна."
Дайвинг/Приборы/Манометры/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/m/a/manometr_1_.jpg,https://www.batiskaf.ru/manometr-apeks.html,Манометр APEKS,10920руб.,AXAP0633,Да,"Компактный манометр со шкалой от 0 до 360 Бар. Крупные, хорошо читаемые цифры на ярком, люминесцентном фоне прекрасно видны даже в условиях плохой видимости."
Дайвинг/Приборы/Консоли/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/4/1/414418_mission.png,https://www.batiskaf.ru/konsol-dlja-dajvinga-mission-2-manometr-glubinomer.html,Консоль Mares Mission 2 манометр+глубиномер,16500руб.,414418IN,Да,Аналоговая консоль с манометром и глубиномером.
Дайвинг/Плавучесть/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/p/e/pearl_i3_left_pocket.jpg,https://www.batiskaf.ru/kompensator-pearl.html,Компенсатор Pearl,43650руб.,SQ3292,Да,"Новый компенсатор плавучести Pearl–это лучший из женских жилетов, созданных когда-либо компанией Aqua Lung. Он имеет полностью новую камеру поддува. Гибридная камера поддува совмещает лучшие свойства 3D-крыла и классического жилета. Pearl сохранил наиболее значимые отличительные конструктивные особенности женских компенсаторов Aqua Lung, например, систему быстро сбрасываемых грузовых карманов SureLock™и систему спортивных нагрудных чашечек. 
Цвет:«Розовая Жемчужина»,«Голубая Жемчужина», «Twilight»(фиолетовый)"
Дайвинг/Экипировка/Ласты/закрытая пятка/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/c/a/caravelle_1.jpg,https://www.batiskaf.ru/lasty-caravelle.html,Ласты Caravelle закрытая пятка,1050руб.,TN206,Да,"Очень легкие ласты с закрытой пяткой.
"
Дайвинг/Экипировка/Ласты/закрытая пятка/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/4/1/410302_avanti_20tre_20bluu_enl.jpg,https://www.batiskaf.ru/lasty-plana-avanti-tre.html,Ласты PLANA AVANTI TRE закрытая пятка,5830руб.,410302SA0,Да,Ласты PLANA AVANTI TRE позволяют длительно плавать без переутомления. Идеально подходят для дайвинга в теплых и тропических водах.
Дайвинг/Неопрен/Майки / Шорты/Майки/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/p/r/prefix4f0c08728f34e1326188658u1.jpg,https://www.batiskaf.ru/majka-s-kapjushonom-u1-2-mm.html,Жилет Waterproof U1 2мм с капюшоном мужской,14240руб.,WP01712,Да,Майка Waterproof с капюшоном из неопрена толщиной 2 мм.
Дайвинг/Неопрен/Шлема/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/2/1/2145_0.jpg,https://www.batiskaf.ru/shlem-s-klapanom-h1-5-7-mm.html,Шлем с клапаном H1 5/7мм,10390руб.,1810,Да,"Шлем анатомической формы с вентиляцией
"
Дайвинг/Неопрен/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/s/h/shop_items_catalog_image492_1.jpg,https://www.batiskaf.ru/perchatki-g1-5-mm-s-molniej.html,Перчатки G1 5мм с молнией,9360руб.,1150,Да,Эти стильные перчатки отличаются гладкой внутренней подкладкой и длинной молнией для лёгкого надевания. 
Дайвинг/Неопрен/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/s/c/scorpena-boots-b-6mm-_.jpg,https://www.batiskaf.ru/noski-scorpena-b-6-mm.html,Носки SCORPENA B 6мм,2200руб.,SCO030050,Да,"Носки В созданы для того, чтобы вы ощущали максимальный комфорт в воде и на суше. Они выполненные из неопрена 6мм, снаружи и внутри покрытого нейлоном. Кроме того, изнутри подошва сделана из плюша. 
"
Дайвинг/Экипировка/Маски/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc03220-edit.jpg,https://www.batiskaf.ru/maska-scorpena-a2.html,Маска Scorpena A2 черный силикон,2010руб.,S16012,Да,"Маска Scorpena A2 - это классическая двухстекольная маска для подводного плавания. Эта маска имеет среднее подмасочное пространство, что делает её очень универсальной. Такая маска подойдет для сноркеллинга (плавание с маской и трубкой, отдых на воде), дайвинга и не глубокой подводной охоты (до примерно 10 метров).
Линзы выполнены из закаленного безопасного стекла.
Маска поставляется в комплекте с пластиковым боксом для хранения и транспортировки."
Дайвинг/Экипировка/Маски/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/s/c/scorpena-b-3-_.jpg,https://www.batiskaf.ru/maska-scorpena-b.html,Маска Scorpena B черный силикон,1870руб.,SCO10002007,Да,"Ты не приемлешь границ своим возможностям и стремишься к глубоководной охоте? Ты ставишь перед собой цели и всегда достигаешь их? Твоя цель – стать успешным подводным охотником? Тогда маска SCORPENA модели B – для тебя. 
"
Снаряжение для подводной охоты/Экипировка/Маски/С диоптриями/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/s/c/scorpena-e-2-_.jpg,https://www.batiskaf.ru/maska-scorpena-e-bez-stekol.html,Маска Scorpena E без стекол,1990руб.,SCO10005007,Да,"Неординарные решения способствуют отменным результатам: уникальная и необычная форма иллюминатора маски SCORPENA E обеспечивает широкий угол обзора, столь необходимый для успешной охоты. SCORPENA E – маска для тех, кто привык контролировать ситуацию и побеждать, даже не обладая идеальным зрением. Диапазон оптической силы устанавливаемых в этой маске линз – от -1,5 до -6 диоптрий с шагом 0,5."
Дайвинг/Неопрен/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/_/b/_b56681b6039f54643b09652029f51ceba292812965227cf8f9_pimgpsh_fullsize_distr.jpg,https://www.batiskaf.ru/perchatki-scorpena-a-3mm.html,Перчатки SCORPENA A 3мм,1950руб.,SCO140010,Да,"Перчатки А – бюджетный вариант незаменимой для подводного охотника части экипировки. Они прекрасно сохраняют тепло тела и защищают кисти рук от различных травм. Перчатки имеют проверенный временем анатомический крой в виде расслабленной руки. 
"
Дайвинг/Неопрен/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/s/c/scorpena-glovesc-6mm-4-_.jpg,https://www.batiskaf.ru/perchatki-scorpena-c-6-mm.html,Перчатки SCORPENA C 6мм,2460руб.,SCO140040,Да,"Перчатки для подводной охоты обязаны выполнять две основные функции – защищать руки охотника от переохлаждения и травм. Пятипалые перчатки С, выполненные из неопрена, покрытого снаружи и внутри нейлоном, замечательно справляются с обеими функциями. 
"
Дайвинг/Экипировка/Сумки/Для снаряжения/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/i/m/img_2965_1_1_.jpg,https://www.batiskaf.ru/sumka-dlja-gruzov-kipen-2.html,Сумка Kipen II для грузов,1390руб.,SCO24015007,Да,"Сумка KIPEN II позволяет хранить и перевозить как отдельно лежащие грузы, так и грузовой пояс или подвеску в сборе. "
Дайвинг/Экипировка/Сумки/Для снаряжения/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc02472-edit.jpg,https://www.batiskaf.ru/sumka-dlja-ohotnich-ih-last-scorpena-onega.html,Сумка Scorpena Онега для охотничьих ласт ,2290руб.,S18180,Да,"Сумка предназначена для транспортировки и хранения длинных охотничьих ласт любого размера.
Размер: 104 х 27 х 13 см
Вес: 0,94 кг"
Дайвинг/Безопасность/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/s/c/sco19002027_1.jpg,https://www.batiskaf.ru/motovilo-scorpena.html,Мотовило SCORPENA,690руб.,SCO19002027,Да,Мотовило SCORPENA может использоваться со всеми типами буев. Ярко-оранжевое плавающее мотовило сделано из термопластика. На него можно намотать до 50 м буйрепа при толщине 5мм или до 30 м при толщине 7мм. 
