Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/c/l/classic_big_1_.jpg,https://www.batiskaf.ru/shapochka-classic-chernaja.html,Шапочка Classic силикон,450руб.,TN20900N,Да,"Шапочка для плавания изготовлена из 100% гипоаллергенного медицинского силикона. Он устойчив к воздействию температур от -50 до +200 С, не стареет и не деформируется. Его можно обрабатывать любыми дезинфицирующими средствами. 
Цвета: черный, голубой, серебристый, красный."
Для бассейна/Очки / Полумаски/с диоптриями/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/e/a/eagle-2.jpg,https://www.batiskaf.ru/ochki-eagle-s-dioptrijami.html,Очки EAGLE с диоптриями,4200руб.,TN1684,Да,"ВНИМАНИЕ: Линзы для очков приобретаются отдельно.
Очки для плавания Aqua Sphere EAGLE с прозрачными линзами. Линзы для коррекции зрения выпускаются с диоптриями от -1.5 до -6.0 с шагом 0,5 и подбираются отдельно (правая и левая), что дает вам возможность выбрать их точно в соответствии с вашими потребностями."
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/t/r/tri_pink.jpg,https://www.batiskaf.ru/shapochka-tri.html,Шапочка Tri силикон,920руб.,SP20916,Да,"Взрослая силиконовая шапочка для плавания.
"
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/s/h/shapochka_xo_blackyellow.jpg,https://www.batiskaf.ru/shapochka-xo.html,Шапочка X-O силикон,2295руб.,TN130,Да,Шапочка для бассейна X-O от Майкла Фелпса
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/r/a/race-2_1.jpg,https://www.batiskaf.ru/shapochka-race-cap.html,Шапочка Race Cap силикон,2295руб.,SPSA1231,Да,100% силиконовая шапочка.
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/i/m/imagefly_33_.jpg,https://www.batiskaf.ru/shapochka-silikonovaja-viiew.html,Шапочка VIEW силикон,845руб.,TSV-31,Да,"Шапочка для плавания V-31 выполнена из мягкого, но прочного силикона и отличается удобством. 100% гипоаллергенный силикон не потеряет цвет со временем. Круглый и гладкий дизайн для лучшего прилегания и уменьшенного сопротивления воды."
Для бассейна/Очки / Полумаски/с диоптриями/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/v/p/vps-741ja.jpg,https://www.batiskaf.ru/nabor-view-remeshok-nosovye-peremychki-dlja-ochkov.html,Набор View (ремешок+носовые перемычки) для очков детский с диоптриями,1500руб.,TSVPS-741JA,Да,Комплект для детей 6-12 лет с переменными носовыми перемычками и возможностью индивидуального подбора диоптрий для каждого глаза. Также есть линзы БЕЗ диоптрий.
Для бассейна/Очки / Полумаски/с диоптриями/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/l/i/linza_tusa_dlya_ochkov_platina_v_500a_2_5.jpg,https://www.batiskaf.ru/linza-dlja-ochkov-view-v-500a.html,Линза для очков View V-500 с диоптриями,1035руб.,TSVC-510ASK,Да,Специальная обработка против запотевания
Для бассейна/Очки / Полумаски/с диоптриями/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/9/4/942_0-228x228.jpg,https://www.batiskaf.ru/nabor-view-remeshok-nosovye-peremychki-dlja-ochkov-v-500.html,Набор View (ремешок+носовые перемычки) для очков  V-500,1290руб.,TSVPS-500,Да,Позволяет вам собрать свои собственные очки для плавания
Для бассейна/Очки / Полумаски/с диоптриями/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/e/a/eagle-3.jpg,https://www.batiskaf.ru/linza-dlja-ochkov-eagle.html,Линза для очков Eagle с диоптриями,2140руб.,TN1673,Да,"Самостоятельная установка диоптрических линз от -1.5 до -6.0 с шагом 0.5
"
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/1/0/10023483.jpg,https://www.batiskaf.ru/shapochka-tekstil-naja-russian-team.html,Шапочка Russian Team силикон,1090руб.,M0538010 ,Да,"RussianStyle
Дизайн шапочки прекрасно подойдет для российских спортсменов и просто патриотов. "
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/m/0/m0535_03_0_03w__mad_wave__light_silicone_solid__blue__one_size_1.jpg,https://www.batiskaf.ru/shapochka-tekstil-naja-light.html,Шапочка LIGHT силикон,650руб.,M0535030,Да,"Надежно защищает волосы от контакта с хлорированной водой, гипоаллергенна, не прилипает к волосам. "
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/m/u/multi2.jpg,https://www.batiskaf.ru/shapochka-silikonovaja-multi-big.html,Шапочка MULTI BIG силикон,730руб.,M0531112,Да,"Специально предназначена для людей с большим размером головы и тех, кто испытывает дискомфорт, когда шапочка сильно давит на голову."
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/m/a/madwave-shapochka-racing-silicone-5163-12760-5163-id.jpg,https://www.batiskaf.ru/shapochka-silikonovaja-racing-silicone.html,Шапочка Racing силикон,1070руб.,M053201000W,Да,"RussianStyle
Силиконовая шапочка для тренировок в бассейне."
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/m/0/m0535_04_0_09w__mad_wave__pastel_silicone_solid__violet__one_size_1.jpg,https://www.batiskaf.ru/shapochka-silikonovaja-pastel.html,Шапочка PASTEL силикон,740руб.,M0535040 ,Да,Лучший выбор для ежедневных тренировок
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/m/0/m0535_01_0_06w__mad_wave__intensive_silicone_solid__yellow__one_size_1.jpg,https://www.batiskaf.ru/shapochka-intensive-silikon.html,Шапочка Intensive силикон,650руб.,M053501 ,Да,Лучший выбор для ежедневных тренировок
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/1/0/10015401.jpg,https://www.batiskaf.ru/shapochka-neon-silikon.html,Шапочка Neon силикон,830руб.,M0535020 ,Да,Лучший выбор для ежедневных тренировок
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/1/0/10015428.jpg,https://www.batiskaf.ru/shapochka-metal-silikon.html,Шапочка Metal силикон,740руб.,M0535050,Да,Лучший выбор для ежедневных тренировок
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/p/r/processed-aa2f63ed-b6bf-40d4-9caa-76788c70f2af_megivg3k.jpeg,https://www.batiskaf.ru/shapochka-klassik-silikon.html,Шапочка КЛАССИК силикон,450руб.,SA131,Да, Легкая и суперэластичная.
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/m/0/m0550_01_0_01w__mad_wave__reverse_champion__black__one_size_2.jpg,https://www.batiskaf.ru/shapochka-reverse-champion-silikon-chjornyj.html,Шапочка Reverse Champion силикон чёрный/белый,1190руб.,M055001001W,Да,"Силиконовая шапочка Mad Wave Reverse CHAMPION - это двухсторонняя шапочка, которая отлично подойдет как женщинам, так и мужчинам. Такую шапочку можно надевать под разные купальники, всего лишь вывернув и надев ее другой стороной.
ОСОБЕННОСТИ:
100% силикон - обеспечивает высокую эластичность, не пропускает воду, плотно облегает голову;
Двухсторонняя силиконовая шапочка - совмещает в себе две шапочки разных цветов;
Универсальный размер - подходит как взрослым, так и подросткам;
Эргономичная форма - обеспечивает надежность и комфорт;
Защита от хлора - защищает волосы и кожу головы от воздействия хлорированной воды в бассейне;
Безопасность - обеспечивает безопасность во время занятий плаванием, защищая от попадания волос в глаза и под детали очков или купальника."
Для бассейна/Очки / Полумаски/с диоптриями/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/_/m/_mg_0029_800l600_.jpg,https://www.batiskaf.ru/ochki-dlja-plavanija-turbo-s-dioptrijami.html,Очки для плавания TURBO  с диоптриями,990руб.,P14PAZ99,Да,Очки для плавания TURBO L31 черные с диоптриями Saeko
Для бассейна/Очки / Полумаски/с диоптриями/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/m/0/m043016a05w-optic-envy-automatic-f.jpg,https://www.batiskaf.ru/ochki-dlja-plavanija-optic-envy-automatic.html,Очки для плавания Optic Envy Automatic с диоптриями,2890руб.,M043016G ,Да,"Линзы с диоптриями - обеспечивают идеальный обзор с широким спектром диоптрий (от -1 до -9);
Прозрачные линзы - чистый и превосходный обзор;
Высокий обтюратор - обеспечивает максимальный комфорт и надежность даже при длительном использовании;
Многоступенчатая носовая перемычка - подходят для любого типа лица;
Покрытие ""Антифог Плюс"" - усовершенствованная защита от запотевания;
Защита UV - защита от ультрафиолета."
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/m/0/m053112-2-03w-intensive-big-s-460x460.jpg,https://www.batiskaf.ru/shapochka-intensive-big-silikon.html,Шапочка Intensive BIG силикон,650руб.,M0531122,Да,Силиконовая шапочка Mad Wave Intensive Big увеличенного объема (+5 мм) специально предназначена для людей с большим размером головы
Для бассейна/Очки / Полумаски/с диоптриями/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/v/c/vc-580as_sk_small.jpeg,https://www.batiskaf.ru/linza-dlja-ochkov-view-platina-swipe-v-580a.html,Линза для очков View Platina Swipe V-580A,1290руб.,TSVC580AS,Да,"Корректирующие линзы для сборки очков V-580ASA Platina Swipeм 0.5
"
Для бассейна/Очки / Полумаски/с диоптриями/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/v/p/vps-570a_bk_small.jpg,https://www.batiskaf.ru/nabor-remeshok-nosovye-peremychki-dlja-ochkov-view-platina-swipe-v-580a.html,Набор (ремешок+носовые перемычки) для очков View Platina Swipe V-580A,1560руб.,TSVPS-570A,Да,Включает ремешок с пряжками и 3 носовые перемычки.
Для бассейна/Очки / Полумаски/с диоптриями/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/i/m/imagefly_1_4.jpg,https://www.batiskaf.ru/linza-k-maske-m-40-tm7500-m-28-m-212.html,ЛИНЗА К МАСКЕ M-40/TM7500/M-28/M-212,3380руб.,TSMC-7500/,Да,"В маске Look простые линзы можно заменить на линзы с диоптриями.
"
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/a/q/aquaskin-hood-v2.jpg,https://www.batiskaf.ru/shapochka-aquaskin-v3-neoprenovaja.html,Шапочка Aquaskin V3 неопреновая,5000руб.,ASSU8230143,Да,Новинка в линейке Aquaskin 2.0 от Aquasphere. Для плавания в открытой воде и триатлона.
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/m/0/m0550_01_0_09w__mad_wave__reverse_champion__green__one_size_3_2.jpg,https://www.batiskaf.ru/shapochka-silikonovaja-reverse-champion-dvustoronnjaja-zeljonyj.html,Шапочка силиконовая Reverse Champion двусторонняя зелёный/черный,1190руб.,M055001009W,Да,"Силиконовая шапочка Mad Wave Reverse CHAMPION - это двухсторонняя шапочка, которая отлично подойдет как женщинам, так и мужчинам. Такую шапочку можно надевать под разные купальники, всего лишь вывернув и надев ее другой стороной.
ОСОБЕННОСТИ:
100% силикон - обеспечивает высокую эластичность, не пропускает воду, плотно облегает голову;
Двухсторонняя силиконовая шапочка - совмещает в себе две шапочки разных цветов;
Универсальный размер - подходит как взрослым, так и подросткам;
Эргономичная форма - обеспечивает надежность и комфорт;
Защита от хлора - защищает волосы и кожу головы от воздействия хлорированной воды в бассейне;
Безопасность - обеспечивает безопасность во время занятий плаванием, защищая от попадания волос в глаза и под детали очков или купальника."
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/m/0/m0550_01_0_04w__mad_wave__reverse_champion__white__one_size_3.jpg,https://www.batiskaf.ru/shapochka-silikonovaja-reverse-champion-dvustoronnjaja-sinij-belyj.html,Шапочка силиконовая Reverse Champion двусторонняя синий/белый,1190руб.,M055001004W,Да,"Силиконовая шапочка Mad Wave Reverse CHAMPION - это двухсторонняя шапочка, которая отлично подойдет как женщинам, так и мужчинам. Такую шапочку можно надевать под разные купальники, всего лишь вывернув и надев ее другой стороной.
ОСОБЕННОСТИ:
100% силикон - обеспечивает высокую эластичность, не пропускает воду, плотно облегает голову;
Двухсторонняя силиконовая шапочка - совмещает в себе две шапочки разных цветов;
Универсальный размер - подходит как взрослым, так и подросткам;
Эргономичная форма - обеспечивает надежность и комфорт;
Защита от хлора - защищает волосы и кожу головы от воздействия хлорированной воды в бассейне;
Безопасность - обеспечивает безопасность во время занятий плаванием, защищая от попадания волос в глаза и под детали очков или купальника."
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/m/0/m0550_01_0_08w__mad_wave__reverse_champion__azure__one_size_3.jpg,https://www.batiskaf.ru/shapochka-silikonovaja-reverse-champion-dvustoronnjaja-goluboj-seryj.html,Шапочка силиконовая Reverse Champion двусторонняя голубой/серый,1190руб.,M055001008W,Да,"Силиконовая шапочка Mad Wave Reverse CHAMPION - это двухсторонняя шапочка, которая отлично подойдет как женщинам, так и мужчинам. Такую шапочку можно надевать под разные купальники, всего лишь вывернув и надев ее другой стороной.
ОСОБЕННОСТИ:
100% силикон - обеспечивает высокую эластичность, не пропускает воду, плотно облегает голову;
Двухсторонняя силиконовая шапочка - совмещает в себе две шапочки разных цветов;
Универсальный размер - подходит как взрослым, так и подросткам;
Эргономичная форма - обеспечивает надежность и комфорт;
Защита от хлора - защищает волосы и кожу головы от воздействия хлорированной воды в бассейне;
Безопасность - обеспечивает безопасность во время занятий плаванием, защищая от попадания волос в глаза и под детали очков или купальника."
Для бассейна/Шапочки/силиконовые/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/m/0/m0550_01_0_15w__mad_wave__reverse_champion__red__one_size_3.jpg,https://www.batiskaf.ru/shapochka-silikonovaja-reverse-champion-dvustoronnjaja-krasnyj-chernyj.html,Шапочка силиконовая Reverse Champion двусторонняя красный/черный,1190руб.,M055001015W,Да,"Силиконовая шапочка Mad Wave Reverse CHAMPION - это двухсторонняя шапочка, которая отлично подойдет как женщинам, так и мужчинам. Такую шапочку можно надевать под разные купальники, всего лишь вывернув и надев ее другой стороной.
ОСОБЕННОСТИ:
100% силикон - обеспечивает высокую эластичность, не пропускает воду, плотно облегает голову;
Двухсторонняя силиконовая шапочка - совмещает в себе две шапочки разных цветов;
Универсальный размер - подходит как взрослым, так и подросткам;
Эргономичная форма - обеспечивает надежность и комфорт;
Защита от хлора - защищает волосы и кожу головы от воздействия хлорированной воды в бассейне;
Безопасность - обеспечивает безопасность во время занятий плаванием, защищая от попадания волос в глаза и под детали очков или купальника."
Для бассейна/Купальники/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/k/o/koa_navy_blue_light_pink_1_.jpg,https://www.batiskaf.ru/kupal-nik-koa-zhenskij.html,Купальник Koa женский,900руб.,SPSW09,Да,"Назначение - для активного плавания и аквааэробики.

Особенности:
- Яркие, модные расцветки
- Спортивный дизайн
- Перекрещивающиеся тонкие лямки на спине
- Высокий вырез по бедрам
- Открытая спина
- Материал: 71% полиамид 29% эластан."
Дайвинг/Неопрен/Майки / Шорты/Майки/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/w/3/w30_top.jpg,https://www.batiskaf.ru/topik-t30-new-2019-zhenskij.html,Топик T30 NEW 2019 женский,3890руб.,WP3262,Да,Вы можете надевать шорты и топ под гидрокостюм в качестве дополнительного утеплителя или носить их отдельно на пляже или в бассейне.
Для бассейна/Купальники/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/c/o/cosmic-2.jpg,https://www.batiskaf.ru/kupal-nik-cosmic-zhenskij.html,Купальник Cosmic женский,900руб.,SPSW0780140,Да,Купальник Cosmic от Aqua Sphere идеален для активного плавания.
Для бассейна/Купальники/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/c/i/cindy-5.jpg,https://www.batiskaf.ru/kupal-nik-cindy-zhenskij.html,Купальник Cindy женский,900руб.,SPSW0704361,Да,Купальник для активного плавания и аквааэробики
Для бассейна/Купальники/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/1/0/10027076_2__2.jpg,https://www.batiskaf.ru/kupal-nik-afra-sinij.html,Купальник AFRA синий,1890руб.,M01592103W,Да,"Купальники из этой ткани имеют привлекательный вид, великолепно тянутся, делают фигуру более стройной, создают дополнительную компрессию.
"
Для бассейна/Купальники/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/1/0/10027079_2__2.jpg,https://www.batiskaf.ru/kupal-nik-afra-chjornyj.html,Купальник AFRA чёрный,1890руб.,M01592101W,Да,"Купальники из этой ткани имеют привлекательный вид, великолепно тянутся, делают фигуру более стройной, создают дополнительную компрессию.
"
