Распродажа/Экипировка/Ласты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/b/e/beuchat_mundial_sport.jpg,https://www.batiskaf.ru/lasty-mundial-sport.html,Ласты для подводной охоты Beuchat Mundial Sport,7540руб.,15405,Да,Ласты средней жёсткости. Отличительная черта этой модели - лопасть серого цвета.
Распродажа/Экипировка/Ласты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/b/e/beuchat_mundial_competition.jpg,https://www.batiskaf.ru/lasty-mundial-competition.html,Ласты для подводной охоты Beuchat Mundial Competition,7540руб.,15409,Да,"Специальная разработка Beuchat, ласты из жёсткого пластика предназначенные для глубоких и быстрых погружений. Это композитные ласты закрытого типа с удлинённой лопастью, что увеличивает эффективную площадь гребка по сравнению с традиционными моделями.
"
Дайвинг/Экипировка/Ласты/закрытая пятка/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/f/3/f399149e-ee6b-4dc9-8c12-a4e08481813e-1200x800.jpg,https://www.batiskaf.ru/lasty-pro-star-yellow.html,Ласты Cressi Pro Star закрытая пятка,3990руб.,BG18503,Да,"Ласты для скоростного плавания Cressi Pro Star с закрытой пяткой
Ласты CRESSI PRO STAR предназначены для глубоководных погружений.
Лопасть сделана из исключительно лёгкого и податливого полипропилена, который скомбинирован с удобной терморезиной.
Более того ласты были разработаны не только для плавания и фридайвинга, но также и для погружения с аквалангом.
Технические характеристики:
- вес ласт в сборе: 1000 г,
- тип пятки: закрытая;
- габариты ласт: 55см*19см*10см,
- длина лопасти: 40 см,
- угол излома лопасти: 18 градусов"
Распродажа/Экипировка/Ласты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/s/t/stingray_short2_1_.jpg,https://www.batiskaf.ru/lasty-stingray-short.html,Ласты для подводной охоты Stingray Short,8450руб.,OMP464,Да,"Новые ласты Stingray Short имеют лопасть на 15 см короче, чем у традиционных охотничьих ласт. Такая лопасть позволяет дольше плавать по поверхности, не утомляя мышцы ног.
"
Распродажа/Экипировка/Ласты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/_/_/___________mares_4f12996f58f18_1.jpg,https://www.batiskaf.ru/lasty-razor-pro.html,Ласты для подводной охоты RAZOR PRO ,8900руб.,420401SA,Да,"Ласты с длинными лопастями. Черные лопасти на модели Razor PRO самые жесткие и бескомпромисные. Доступны большие размеры калош (47-48), что не маловажно для нашего подводного охотника с большой ногой и толстым носком. Лопасти могут меняться."
Распродажа/Экипировка/Ласты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/n/e/nemopro.ru-___1911158783804001636_9006188506___-.jpg,https://www.batiskaf.ru/lasty-razor-soft.html,Ласты для подводной охоты Razor Soft,8700руб.,420402SA0,Да,Ласты Mares Razor Soft – ласты для подводной охоты. Лёгкие и эффективные.
Снаряжение для подводной охоты/Экипировка/Ласты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/s/c/scorpenaa-5_1_.jpg,https://www.batiskaf.ru/lasty-scorpena-a.html,Ласты для подводной охоты Scorpena A,6740руб.,SCO9000300,Да,"СКИДКА 10% ПО ПРОМОКОДУ SALE10
Лопасти этих ласт выполнены из комбинированного сплава полимерных материалов и имеют оптимальную жесткость для большинства подводных охотников. Галоша выполнена из термопластичной резины, мягкой и комфортной для стопы, но вместе с тем достаточно плотной для точной передачи энергии гребка."
Снаряжение для подводной охоты/Экипировка/Ласты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/i/m/img_1919_1_1_1__1_.jpg,https://www.batiskaf.ru/lasty-reguliruemye-scorpena-c.html,Ласты для подводной охоты Scorpena C регулируемые,7990руб.,SCO9000208,Да,"СКИДКА 10% ПО ПРОМОКОДУ SALE10
Регулируемые ласты SCORPENA с открытой пяткой имеют удобную мягкую галошу. Отсутствие задней части галоши позволяет одевать их с неопреновыми носками 9мм, даже при большом размере ноги. "
Распродажа/Экипировка/Ласты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/1/5/15472__mundial-one_-flex-1_1_1_.jpg,https://www.batiskaf.ru/lasty-mundial-one.html,Ласты для подводной охоты Mundial One,5200руб.,15472,Да,"Эти ласты разработаны для начинающих пловцов и подводных охотников с небольшим опытом.
"
Снаряжение для подводной охоты/Приборы/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc_1816_580l400_1_.jpg,https://www.batiskaf.ru/chasy-glubinomer-vektor-zheltye-knopki.html,Часы-глубиномер ВЕКТОР желтые кнопки,"
                    7225руб.                ",OD/090016/A-Yellow,Да,"""Вектор 100М"" - это водонепроницаемые часы для активного образа жизни.
Стиль и удобство. Часы ""Вектор 100М"" многофункциональны, практичны и невероятно надежны — эти качества, которые важны и для настоящего мужского аксессуара, и для человека, его носящего. Черный корпус и контрастные кнопки будут отлично смотреться у манжета как камуфляжного гидрокостюма, так и рубашки, добавляя эмоций в повседневную жизнь, как и само хобби, которое их породило."
