Распродажа/Прочее/Фонари/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/1/3/13268.jpg,https://www.batiskaf.ru/fonar-c4.html,Фонарь UK С4 Xenon без батареек,5250руб.,1900,Да,"Это уменьшенная модификация фонаря Sunlight С8. Количество элементов питания уменьшено до 4. В светоотражающем блоке установлены 2 лампы мощности 13.2 Вт для использования с батарейками и в аккумуляторной версии различной мощности 6.6 и 10 Вт. Переключение режимов работы производится при помощи трёхпозиционного переключателя с фиксатором.Мощность: 2x6.6 Вт
Лампа: ксеноновая, большой яркости
Световой поток: 104 Lm
Время работы: 4 часа
Батареи: 4 батареи типа C
"
Распродажа/Подводная охота/Гидрокостюмы для охоты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/2/_/2_1_4_1.jpg,https://www.batiskaf.ru/gidrokostjum-dlja-podvodnoj-ohoty-scorpena-c3-3mm-blue-camo.html,Гидрокостюм Scorpena C3 3мм BLUE Camo,17950руб.,SCO1902816,Да,"Вершина линейки гидрокостюмов SCORPENA – модель С в 2017 году полностью обновлена.

"
Распродажа/Подводная охота/Гидрокостюмы для охоты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/n/s/ns7a5729_3_1_1_1_2.jpg,https://www.batiskaf.ru/gidrokostjum-dlja-podvodnoj-ohoty-scorpena-redline-3mm-otkrytaja-pora.html,Гидрокостюм Scorpena RedLine 3мм открытая пора,6700руб.,SCO1904310,Да,"После запуска в 2017 году линейки костюмов RedLine большинство начинающих подводных охотников с воодушевлением приняли заложенные в них идеи и технические решения. Но продвинутые охотники, которым предстоит нырять в более прохладную воду, охотиться чуть дольше и двигаться при этом более активно, очень настойчиво просили нас добавить в костюмы линейки RedLine модель с открытой поры изнутри. И постараться сохранить при этом прежнюю бюджетную цену. Весной 2018 года нам это удалось!
"
Распродажа/Подводная охота/Гидрокостюмы для охоты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/2/_/2_1_4.jpg,https://www.batiskaf.ru/gidrokostjum-dlja-podvodnoj-ohoty-scorpena-c3-1-5mm-blue-camo.html,"Гидрокостюм Scorpena C3 1,5мм BLUE Camo",16360руб.,SCO1903116,Да,"Вершина линейки гидрокостюмов SCORPENA – модель С в 2017 году полностью обновлена.

"
Распродажа/Подводная охота/Гидрокостюмы для охоты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/2/0/20220105_112024_0000.png,https://www.batiskaf.ru/gidrokostjum-dlja-podvodnoj-ohoty-akvatiks-7mm-nejlon-nejlon.html,Гидрокостюм Акватикс 7мм нейлон/нейлон,7200руб.,AQ7,Да,Гидрокостюм для подводной охоты Акватикс 7мм нейлон/нейлон
Распродажа/Подводная охота/Гидрокостюмы для охоты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/1/0/10_6.jpg,https://www.batiskaf.ru/gidrokostjum-dlja-podvodnoj-ohoty-scorpena-ecoline-5mm-nejlon.html,Гидрокостюм Scorpena EcoLine 5мм нейлон,20550руб.,SCO140,Да,"Модели костюмов с открытой порой изнутри мы рекомендуем для тех подводных охотников, кто охотятся подолгу и которые чувствуют уверенность в своём опыте обращения с неопреновыми изделиями и знаниями об уходе за ними.
"
Дайвинг/Экипировка/Ласты/закрытая пятка/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/0/6/06-49-00-x-voyager.jpg,https://www.batiskaf.ru/lasty-x-voyager.html,Ласты X-Voyager закрытая пятка,2960руб.,1539,Да,"Обрезиненные края защищают лопасть от механических повреждений, продлевая срок службы ласт. "
Дайвинг/Экипировка/Ласты/открытая пятка/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/p/o/powerjet-adjustable_1.jpg,https://www.batiskaf.ru/lasty-power-jet-otkrytaja-pjatka.html,Ласты Beuchat Power Jet открытая пятка,3990руб.,15400,Да,"Ласты Beuchat Power Jet – удобные и легкие ласты с открытой пяткой. Подходят для занятия дайвингом.
Вес ласт снижен благодаря использованию трех различных материалов и инновационному дизайну.
Пряжки съемные и легко регулируемые. Галоши адаптированы для комфортного использования любых ботиков.
Ласты чёрного цвета отличаются повышенной жесткостью. Синие и жёлтые средней жёсткости."
Дайвинг/Экипировка/Ласты/закрытая пятка/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/6/5/654_154511.jpg,https://www.batiskaf.ru/lasty-power-jet-zakrytaja-pjatka.html,Ласты Beuchat Power Jet закрытая пятка,2950руб.,154,Да,"Компания Beuchat, французский производитель снаряжения для дайвинга и подводной охоты, представил обновленную версию популярной модели ласт Power Jet!"
Распродажа/Экипировка/Ласты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/b/e/beuchat_mundial_sport.jpg,https://www.batiskaf.ru/lasty-mundial-sport.html,Ласты для подводной охоты Beuchat Mundial Sport,7540руб.,15405,Да,Ласты средней жёсткости. Отличительная черта этой модели - лопасть серого цвета.
Распродажа/Экипировка/Ласты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/b/e/beuchat_mundial_competition.jpg,https://www.batiskaf.ru/lasty-mundial-competition.html,Ласты для подводной охоты Beuchat Mundial Competition,7540руб.,15409,Да,"Специальная разработка Beuchat, ласты из жёсткого пластика предназначенные для глубоких и быстрых погружений. Это композитные ласты закрытого типа с удлинённой лопастью, что увеличивает эффективную площадь гребка по сравнению с традиционными моделями.
"
Дайвинг/Экипировка/Ласты/закрытая пятка/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/c/r/cressi-pluma-1_2.jpg,https://www.batiskaf.ru/lasty-pluma.html,Ласты Cressi Pluma закрытая пятка,2200руб.,CA1760,Да,"Pluma – это превосходные ласты, в которых сочетается большое количество технологий, в прошлом используемых только на высокотехничных моделях, разработанных специально для подводной охоты и дайвинга.
По существу, в ней использована та же самая запатентованная система Cressi, заключающуюся в использовании трёх различных материалов, для достижения высокой производительности, невероятной лёгкости и оптимального усилия во время гребка, а также поразительного комфорта при её использовании.
Лопасть выполнена из лёгкого и в то же время податливого полипропилена, с очень энергичной и стремительной отдачей. Продольные ребра жёсткости переменного сечения в сочетании с эластичными приливами по всему боковому краю лопасти гарантируют контролируемое сгибание и поступательное движение.
"
Распродажа/Неопрен/Гидрокостюмы/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/a/l/alize-shorty-junior_2_.jpg,https://www.batiskaf.ru/gidrokostjum-alize-shorty-detskij-3mm.html,Гидрокостюм Alize Shorty 3мм детский,4950руб.,46695,Да,"Имеет те же характеристики и стильный дизайн, как и монокостюм Alize. Бесшовная подмышечная вставка из мягкого материала, обеспечивает свободное движение руками. По краям рукавов и штанин – аквастопы. Анатомический воротник выполнен из эластичного неопрена плотно облегающего шею без неприятных ощущений.

"
Распродажа/Неопрен/Гидрокостюмы/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/i/m/image4_1325857872_1_.jpg,https://www.batiskaf.ru/gidrokostjum-zhenskij-focea-sport-5-mm.html,Гидрокостюм Focea Sport 5мм женский,4920руб.,51660,Да,"Модель костюма Focea Sport толщиной 5 мм, выполнена из эластичного неопрена. Гидрокостюм имеет преформированный анатомический крой, придающий великолепную посадку по фигуре и обеспечивает невероятный комфорт и свободу движений его обладателю."
Распродажа/Неопрен/Гидрокостюмы/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/b/a/balance_comfort_2_1_.jpg,https://www.batiskaf.ru/gidrokostjum-zhenskij-balance-comfort-5-5-mm-2012.html,"Гидрокостюм Баланс Комфорт 2012 5,5мм женский",18150руб.,SP 66197,Да,"Монокостюм женский  Balance Comfort 5,5 мм 2012 
Модульный гидрокостюм, состоящий из монокостюма 5,5 мм,  без отдельного шлема. 
Все части изготовлены из неопрена Ultrastretch.
Двойная обтюрация на запястьях и лодыжках из 3,5 мм неопрена «гладкая кожа» с застежкой на молнии.
Ультрамягкие неопреновые вставки на сгибах в суставах рук и ног.
Дополнительно можно приобрести Куртку со шлемом или шлем.
"
Распродажа/Экипировка/Ласты/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/s/t/stingray_short2_1_.jpg,https://www.batiskaf.ru/lasty-stingray-short.html,Ласты для подводной охоты Stingray Short,8450руб.,OMP464,Да,"Новые ласты Stingray Short имеют лопасть на 15 см короче, чем у традиционных охотничьих ласт. Такая лопасть позволяет дольше плавать по поверхности, не утомляя мышцы ног.
"
Распродажа/Неопрен/Гидрокостюмы/,https://www.batiskaf.ru/media/catalog/product/cache/2/small_image/296x296/9df78eab33525d08d6e5fb8d27136e95/b/a/babybimboba_5b350l290_5d_1_.jpg,https://www.batiskaf.ru/gidrokostjum-detskij-baby-1-5-mm-sinij.html,Гидрокостюм Cressi Baby 2мм синий,2500руб.,DG00100,Да,"Мокрый гидрокостюм для детей, изготовлен из 1,5 мм неопрена (грудь и спина) и лайкры (боковины, рукава и воротник). Передняя застежка-молния YKK. Обеспечивает великолепную защиту от холода и ультрафиолета и максимальную свободу движений за счет не раздражающих кожу вставок из лайкры.
"
